                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.6507,                 1.1726,                 1.8331,                0.75352,                0.73337,                  0.774,                0.39995,                  1.636,                 1.0863,                 1.7932,               0.007327,               0.007327,               0.007327
                     56,                 1.6682,                 1.1906,                  1.844,                0.78823,                0.72832,                0.78158,                0.39434,                  1.681,                 1.0657,                 1.8192,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.6442,                 1.1677,                 1.8147,                0.75245,                0.72832,                0.77211,                0.40606,                 1.6412,                 1.0534,                 1.7818,               0.007228,               0.007228,               0.007228
                     58,                 1.6473,                 1.1819,                  1.814,                0.77316,                0.70665,                0.76832,                0.39418,                 1.6611,                 1.0927,                 1.7941,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.6417,                 1.1831,                 1.8226,                0.75979,                0.74506,                0.78774,                0.41136,                 1.6442,                 1.0585,                 1.8017,               0.007129,               0.007129,               0.007129
                     60,                 1.6672,                 1.1712,                 1.8436,                  0.767,                0.75289,                0.78506,                0.40881,                 1.6477,                 1.0382,                 1.7681,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.6421,                 1.1485,                 1.8107,                0.76383,                0.71387,                0.78069,                0.40456,                 1.7086,                 1.0586,                  1.824,                0.00703,                0.00703,                0.00703
                     62,                 1.6534,                 1.1597,                 1.8286,                 0.7776,                0.73266,                0.78625,                0.41707,                 1.6386,                 1.0314,                 1.7702,              0.0069805,              0.0069805,              0.0069805
                     63,                  1.654,                 1.1758,                 1.8196,                0.76775,                0.72832,                0.78434,                0.40845,                 1.6522,                 1.0683,                  1.781,               0.006931,               0.006931,               0.006931
                     64,                 1.6434,                 1.1605,                 1.8173,                 0.7664,                0.73963,                 0.7893,                0.41941,                 1.6332,                 1.0156,                 1.7691,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.6345,                 1.1391,                 1.8064,                0.74122,                0.73555,                0.77953,                0.41256,                 1.6447,                  1.044,                 1.7701,               0.006832,               0.006832,               0.006832
                     66,                 1.6301,                 1.1468,                 1.8079,                0.76108,                0.71812,                 0.7738,                0.41046,                 1.6038,                  1.088,                 1.7722,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.6411,                 1.1741,                 1.8155,                0.77067,                0.72843,                0.78722,                0.41287,                 1.6322,                 1.0439,                 1.7664,               0.006733,               0.006733,               0.006733
                     68,                 1.6357,                 1.1427,                 1.8028,                0.74671,                0.75833,                0.78593,                 0.4091,                 1.6459,                 1.0527,                 1.8019,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.6329,                   1.16,                 1.8087,                0.77841,                0.72593,                0.78307,                0.41368,                 1.6415,                 1.0296,                 1.7648,               0.006634,               0.006634,               0.006634
                     70,                 1.6326,                  1.155,                 1.8048,                0.76791,                0.71532,                0.78164,                0.41435,                 1.6267,                 1.0221,                 1.7606,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.6493,                 1.1569,                 1.8229,                0.77559,                0.71921,                 0.7807,                0.41413,                  1.616,                  1.039,                 1.7896,               0.006535,               0.006535,               0.006535
                     72,                  1.625,                 1.1414,                 1.8085,                0.78606,                0.73802,                0.79689,                0.41352,                  1.653,                 1.0182,                 1.7881,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.6228,                 1.1523,                 1.8064,                0.76948,                 0.7284,                0.77534,                0.40408,                 1.6399,                 1.0848,                 1.8001,               0.006436,               0.006436,               0.006436
                     74,                 1.6275,                  1.158,                 1.8095,                 0.7505,                0.75867,                0.78571,                0.40977,                 1.6586,                 1.0339,                 1.7903,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.6205,                 1.1465,                 1.8074,                0.75976,                0.73121,                0.77762,                0.42171,                 1.5973,                 1.0352,                 1.7691,               0.006337,               0.006337,               0.006337
                     76,                 1.6227,                  1.153,                 1.8115,                0.77932,                0.72465,                0.78422,                 0.4164,                   1.62,                 1.0435,                 1.7716,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.6174,                 1.1515,                 1.7968,                0.75806,                0.75161,                0.78238,                0.41401,                 1.6675,                 1.0229,                 1.8046,               0.006238,               0.006238,               0.006238
                     78,                 1.6116,                 1.1483,                 1.7927,                0.77018,                0.72399,                0.77833,                0.41469,                 1.6632,                 1.0206,                 1.7861,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.6149,                 1.1425,                 1.7892,                0.77412,                0.74784,                0.79416,                0.42183,                 1.6408,                 1.0081,                 1.7653,               0.006139,               0.006139,               0.006139
                     80,                 1.6165,                 1.1342,                 1.7955,                0.76985,                0.75434,                0.78893,                0.42384,                 1.6353,                0.99164,                 1.7668,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.6144,                 1.1369,                 1.7982,                0.76894,                 0.7406,                0.78551,                0.41851,                 1.6509,                 1.0306,                 1.7876,                0.00604,                0.00604,                0.00604
                     82,                 1.6191,                 1.1453,                  1.787,                0.74826,                0.74277,                 0.7829,                0.41395,                 1.6428,                 1.0221,                  1.764,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.5972,                 1.1172,                 1.7662,                0.75127,                0.74637,                0.78399,                0.40912,                 1.6673,                 1.0207,                 1.7986,               0.005941,               0.005941,               0.005941
                     84,                 1.5935,                 1.1285,                 1.7783,                0.77512,                0.74422,                0.78275,                0.41085,                 1.6364,                 1.0042,                 1.7618,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.5924,                 1.1286,                  1.778,                0.76305,                0.73988,                0.79138,                0.41119,                 1.6618,                 1.0303,                 1.7847,               0.005842,               0.005842,               0.005842
                     86,                 1.6031,                 1.1315,                   1.78,                0.75529,                0.73595,                0.78371,                0.41399,                 1.6412,                 1.0192,                 1.7636,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.5832,                 1.1021,                 1.7677,                0.79482,                0.72212,                0.78552,                0.42555,                 1.6054,                 1.0275,                 1.7443,               0.005743,               0.005743,               0.005743
                     88,                 1.6065,                 1.1316,                 1.7734,                0.77185,                0.72355,                 0.7914,                0.42403,                 1.6263,                0.98527,                 1.7462,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.5917,                 1.1131,                 1.7677,                0.75688,                0.74133,                 0.7881,                0.41482,                 1.6421,                0.99884,                 1.7565,               0.005644,               0.005644,               0.005644
                     90,                 1.5889,                 1.1066,                  1.751,                0.76684,                0.74422,                0.78942,                0.42204,                 1.6275,                0.97834,                 1.7496,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.5909,                 1.1111,                 1.7515,                0.75896,                0.72977,                0.78871,                0.41927,                 1.6254,                0.98298,                 1.7514,               0.005545,               0.005545,               0.005545
                     92,                 1.5939,                 1.1293,                 1.7557,                0.77246,                0.74078,                 0.7894,                0.41732,                 1.6231,                 1.0077,                 1.7484,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.5961,                  1.136,                 1.7592,                0.74435,                0.75867,                0.79676,                0.42628,                 1.5986,                0.98132,                 1.7311,               0.005446,               0.005446,               0.005446
                     94,                 1.5965,                 1.1087,                 1.7602,                 0.7856,                0.71484,                0.79075,                0.42809,                 1.6099,                0.99823,                 1.7346,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.5821,                 1.1031,                 1.7601,                0.74761,                0.74482,                0.78534,                0.41213,                 1.6292,                 1.0197,                 1.7487,               0.005347,               0.005347,               0.005347
                     96,                 1.5788,                 1.0973,                 1.7443,                0.73844,                0.74659,                0.78407,                0.41361,                 1.6471,                0.99144,                 1.7609,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.5993,                 1.1164,                 1.7625,                0.76005,                0.75986,                0.79483,                0.42367,                 1.6276,                0.97748,                  1.751,               0.005248,               0.005248,               0.005248
                     98,                  1.569,                 1.0795,                 1.7382,                0.78636,                0.74566,                0.79405,                0.42157,                 1.6221,                0.97407,                 1.7288,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.5809,                 1.0837,                 1.7468,                  0.738,                0.75712,                 0.7803,                0.41556,                  1.629,                 1.0091,                 1.7471,               0.005149,               0.005149,               0.005149
                    100,                 1.5834,                 1.1028,                 1.7588,                0.77508,                0.72832,                0.79259,                0.41893,                 1.6688,                 1.0008,                 1.7783,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.5756,                 1.1007,                 1.7429,                0.78766,                0.72903,                0.79362,                0.42645,                 1.6299,                0.96017,                 1.7417,                0.00505,                0.00505,                0.00505
                    102,                 1.5806,                 1.0846,                 1.7543,                0.75857,                 0.7401,                0.78632,                0.41235,                 1.6407,                 1.0106,                 1.7552,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.5901,                 1.0872,                  1.748,                0.75677,                0.74855,                0.78584,                0.41565,                 1.6541,                0.95949,                  1.745,               0.004951,               0.004951,               0.004951
                    104,                 1.5649,                 1.0671,                  1.725,                0.79297,                0.71401,                0.78846,                0.41953,                 1.6419,                0.97921,                 1.7501,              0.0049015,              0.0049015,              0.0049015
                    105,                  1.576,                 1.0938,                  1.739,                0.76563,                0.73121,                 0.7894,                0.42254,                 1.6334,                0.96934,                 1.7401,               0.004852,               0.004852,               0.004852
                    106,                 1.5593,                 1.0749,                 1.7301,                0.77429,                0.74854,                0.79503,                0.42537,                 1.6216,                0.95194,                 1.7375,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.5622,                 1.0855,                 1.7254,                 0.7753,                0.73555,                0.78789,                0.42459,                 1.6263,                0.95252,                  1.731,               0.004753,               0.004753,               0.004753
