                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.88087,                0.60639,                  1.269,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0052975,              0.0052975,              0.0052975
                     97,                 0.8736,                0.61334,                  1.257,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
                     98,                0.85614,                0.59189,                  1.243,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0051985,              0.0051985,              0.0051985
                     99,                0.86413,                0.60483,                 1.2481,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.005149,               0.005149,               0.005149
                    100,                0.85141,                0.59675,                 1.2417,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0050995,              0.0050995,              0.0050995
                    101,                0.84637,                0.59688,                 1.2369,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                    102,                0.82065,                0.57597,                 1.2168,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0050005,              0.0050005,              0.0050005
                    103,                0.82727,                0.57459,                 1.2241,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.004951,               0.004951,               0.004951
                    104,                0.83369,                0.57066,                 1.2235,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0049015,              0.0049015,              0.0049015
                    105,                0.81789,                0.57555,                 1.2136,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.004852,               0.004852,               0.004852
                    106,                0.79757,                0.55228,                 1.1967,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0048025,              0.0048025,              0.0048025
                    107,                0.80032,                0.55074,                 1.2038,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.004753,               0.004753,               0.004753
                    108,                0.80763,                0.55478,                 1.2051,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0047035,              0.0047035,              0.0047035
                    109,                0.79955,                0.54795,                 1.2014,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.004654,               0.004654,               0.004654
                    110,                 0.7759,                 0.5355,                 1.1784,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0046045,              0.0046045,              0.0046045
                    111,                 0.7784,                0.53705,                 1.1814,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.004555,               0.004555,               0.004555
